"Time Stamp,""Time Zone"",""Name"",""PTID"",""Load"""
"01/01/2004 00:30:17,""EST"",""HUD VL"",61758,1058"
"01/01/2004 00:30:17,""EST"",""MHK VL"",61756,615"
"01/01/2004 00:30:17,""EST"",""MILLWD"",61759,211"
"01/01/2004 00:30:17,""EST"",""N.Y.C._LONGIL"",,7020"
"01/01/2004 00:30:17,""EST"",""NORTH"",61755,634"
"01/01/2004 00:30:17,""EST"",""WEST"",61752,1531"
"01/01/2004 00:35:17,""EST"",""CAPITL"",61757,971"
"01/01/2004 00:35:17,""EST"",""CENTRL"",61754,1592"
"01/01/2004 00:35:17,""EST"",""DUNWOD"",61760,595"
"01/01/2004 00:35:17,""EST"",""GENESE"",61753,935"
"01/01/2004 00:35:17,""EST"",""HUD VL"",61758,1051"
"01/01/2004 00:35:17,""EST"",""MHK VL"",61756,620"
"01/01/2004 00:35:17,""EST"",""MILLWD"",61759,211"
"01/01/2004 00:35:17,""EST"",""N.Y.C._LONGIL"",,7033"
"01/01/2004 00:35:17,""EST"",""NORTH"",61755,643"
"01/01/2004 00:35:17,""EST"",""WEST"",61752,1561"
"01/01/2004 00:36:47,""EST"",""CAPITL"",61757,963"
"01/01/2004 00:36:47,""EST"",""CENTRL"",61754,1604"
"01/01/2004 00:36:47,""EST"",""DUNWOD"",61760,591"
"01/01/2004 00:36:47,""EST"",""GENESE"",61753,929"
"01/01/2004 00:36:47,""EST"",""HUD VL"",61758,1056"
"01/01/2004 00:36:47,""EST"",""MHK VL"",61756,614"
"01/01/2004 00:36:47,""EST"",""MILLWD"",61759,207"
"01/01/2004 00:36:47,""EST"",""N.Y.C._LONGIL"",,6989"
"01/01/2004 00:36:47,""EST"",""NORTH"",61755,636"
"01/01/2004 00:36:47,""EST"",""WEST"",61752,1553"
"01/01/2004 00:41:47,""EST"",""CAPITL"",61757,956"
"01/01/2004 00:41:47,""EST"",""CENTRL"",61754,1596"
"01/01/2004 00:41:47,""EST"",""DUNWOD"",61760,595"
"01/01/2004 00:41:47,""EST"",""GENESE"",61753,923"
"01/01/2004 00:41:47,""EST"",""HUD VL"",61758,1044"
"01/01/2004 00:41:47,""EST"",""MHK VL"",61756,619"
"01/01/2004 00:41:47,""EST"",""MILLWD"",61759,214"
"01/01/2004 00:41:47,""EST"",""N.Y.C._LONGIL"",,6971"
"01/01/2004 00:41:47,""EST"",""NORTH"",61755,635"
"01/01/2004 00:41:47,""EST"",""WEST"",61752,1550"
"01/01/2004 00:46:47,""EST"",""CAPITL"",61757,963"
"01/01/2004 00:46:47,""EST"",""CENTRL"",61754,1598"
"01/01/2004 00:46:47,""EST"",""DUNWOD"",61760,584"
"01/01/2004 00:46:47,""EST"",""GENESE"",61753,919"
"01/01/2004 00:46:47,""EST"",""HUD VL"",61758,1054"
"01/01/2004 00:46:47,""EST"",""MHK VL"",61756,609"
"01/01/2004 00:46:47,""EST"",""MILLWD"",61759,211"
"01/01/2004 00:46:47,""EST"",""N.Y.C._LONGIL"",,6916"
"01/01/2004 00:46:47,""EST"",""NORTH"",61755,633"
"01/01/2004 00:46:47,""EST"",""WEST"",61752,1548"
"01/01/2004 00:51:47,""EST"",""CAPITL"",61757,953"
"01/01/2004 00:51:47,""EST"",""CENTRL"",61754,1582"
"01/01/2004 00:51:47,""EST"",""DUNWOD"",61760,578"
"01/01/2004 00:51:47,""EST"",""GENESE"",61753,916"
"01/01/2004 00:51:47,""EST"",""HUD VL"",61758,1044"
"01/01/2004 00:51:47,""EST"",""MHK VL"",61756,605"
"01/01/2004 00:51:47,""EST"",""MILLWD"",61759,211"
"01/01/2004 00:51:47,""EST"",""N.Y.C._LONGIL"",,6899"
